openspending_id,amount,category_name,category_label,subcategory_name,subcategory_label,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
7603a47577d173b136313a69ff957512ab8fe79a,221906046.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-01-31,2012,01,31,05,201201,0,2012-01-31
40ea8ba9fec17b42c2057ef4f83989409eab0de3,327121757.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-02-29,2012,02,29,09,201202,0,2012-02-29
a36d46d077fae34bf2f55e3d1b25c3aed0a773ae,368815840.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-03-31,2012,03,31,13,201203,0,2012-03-31
4c6d592adb8f2ce984a927744214851242264634,350463131.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-04-30,2012,04,30,18,201204,1,2012-04-30
68d36020076d3f270c80c7a4a69a130a655ba4c0,356161058.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-05-31,2012,05,31,22,201205,1,2012-05-31
d081b09a232d533ad146c2f4caf48b5e2e2c0d64,325154630.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-06-30,2012,06,30,26,201206,1,2012-06-30
13606dae72ec6a7fff33ef7983292ebf6d044df5,10784300.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-07-31,2012,07,31,31,201207,1,2012-07-31
cc195fdc27d075f8c88496fb2e0c35d0dc1a99b4,1034937145.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-08-31,2012,08,31,35,201208,2,2012-08-31
d64cd32d4ac88106dd5315d220f0d9058c778797,1070843949.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-09-30,2012,09,30,39,201209,2,2012-09-30
e53d2ff8deb72f25184d16e275c78cfed263d33f,1239642642.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-10-31,2012,10,31,44,201210,2,2012-10-31
a9c52adaaa6b8a146bb8fc8d5059185c301600eb,1138044237.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-11-30,2012,11,30,48,201211,2,2012-11-30
af58a4612dd01506fd9221e4eb038a5719910685,1328301872.0,eignarskattar,Eignarskattar ,audlegdarskattur,Auðlegðarskattur,2012-12-31,2012,12,31,53,201212,3,2012-12-31
7680858eafd28e6d06861bc16cdc452a5713f94a,219533645.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-01-31,2012,01,31,05,201201,0,2012-01-31
fa8350725f7ff219a3e3bb5d939283dbb900356e,286000739.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-02-29,2012,02,29,09,201202,0,2012-02-29
fe2ca39870cd7adb6fa99c94e6cf5299cd60eb86,293471813.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-03-31,2012,03,31,13,201203,0,2012-03-31
5bf9e9f8341606b87764ec51725460722a3941e0,201047409.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-04-30,2012,04,30,18,201204,1,2012-04-30
6f640bb203d0066c72e840492c45ea881e5d8ed8,298797284.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-05-31,2012,05,31,22,201205,1,2012-05-31
e14f02536d9f44ff6e4be9213a15de4eaad3e183,292459394.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-06-30,2012,06,30,26,201206,1,2012-06-30
f9c3e6acb28e88a089c795936104570120a40b6a,310201552.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-07-31,2012,07,31,31,201207,1,2012-07-31
e8dfc7066d9d6f44f7f088016ce3d41d7ca61a56,236138593.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-08-31,2012,08,31,35,201208,2,2012-08-31
3d136247c6e6a2c85185762aca586cc78fa13806,213762963.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-09-30,2012,09,30,39,201209,2,2012-09-30
fab3079c32ad02dec9fc7235eac59f8364bd15c1,380291098.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-10-31,2012,10,31,44,201210,2,2012-10-31
83b962683004763772aa1774bdb458c4392def04,308120186.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-11-30,2012,11,30,48,201211,2,2012-11-30
fb53731565736c43431551cc8bde7342b1c89c49,312962416.0,eignarskattar,Eignarskattar ,stimpilgjold,Stimpilgjöld,2012-12-31,2012,12,31,53,201212,3,2012-12-31
